2,Chicken Quesadilla Combo,$8.99,680-1100 Cal
2,Mexican Pizza Combo,$10.49,920-1340 Cal
2,Nachos BellGrande® Combo,$9.59,930-1350 Cal
2,2 Chicken Chalupas Supreme Combo,$11.29,840-1260 Cal
2,Crunchwrap Supreme® Combo,$8.59,710-1130 Cal
2,3 Crunchy Tacos Combo,$7.69,500-920 Cal
2,3 Crunchy Tacos Supreme® Combo,$8.99,570-990 Cal
2,3 Doritos® Locos Tacos Combo,$9.19,510-930 Cal
2,3 Doritos® Locos Tacos Supreme Combo,$9.89,580-1000 Cal
2,3 Soft Tacos Combo,$7.69,550-970 Cal
2,Burrito Supreme® Combo,$8.89,590-1010 Cal
2,3 Soft Tacos Supreme® Combo,$8.99,620-1050 Cal
2,Cantina Chicken Soft Taco,$2.99,260-260 Cal
2,Double Stacked Taco,$1.99,320 Cal
2,Soft Taco,$1.79,180 Cal
2,Cantina Chicken Crispy Taco,$2.99,340-340 Cal
2,Soft Taco Supreme®,$2.69,210 Cal
2,Spicy Potato Soft Taco,$1.19,240 Cal
2,Crunchy Taco,$1.79,170 Cal
2,Crunchy Taco Supreme®,$2.69,190 Cal
2,Nacho Cheese Doritos® Locos Tacos,$2.59,170 Cal
2,Nacho Cheese Doritos® Locos Tacos Supreme®,$3.29,190 Cal
2,Chalupa Supreme®,$4.99,360 Cal
2,Black Bean Chalupa Supreme®,$4.99,340 Cal
2,Cheesy Gordita Crunch,$4.99,490 Cal
2,Doritos® Cheesy Gordita Crunch - Nacho Cheese,$5.49,500 Cal
2,Cantina Chicken Burrito,$5.59,590-590 Cal
2,Chicken Enchilada Burrito,$2.49,380 Cal
2,Cheesy Double Beef Burrito,$2.79,570 Cal
2,Grilled Cheese Burrito,$4.89,720 Cal
2,Black Bean Grilled Cheese Burrito,$4.89,700 Cal
2,Bean Burrito,$1.79,360 Cal
2,Beefy 5-Layer Burrito,$3.79,500 Cal
2,Burrito Supreme®,$4.99,400 Cal
2,Cheesy Bean and Rice Burrito,$1.19,420 Cal
2,Big Cheez-It® Crunchwrap Supreme®,$5.49,570 Cal
2,Big Cheez-It® Tostada,$3.99,230 Cal
2,Large Nacho Fries,$3.19,470-470 Cal
2,Nacho Fries,$2.29,330-330 Cal
2,Stacker,$2.19,400 Cal
